Family_ID,Round,GDP_Growth,Inflation,FX_Change,Volatility_Index,Market_Liquidity,ICT_Demand,SME_Finance_Score,CyberIncident_Count,Digital_Switch_Score,IoT_Device_Density,Natural_Disaster_Impact,Emergency_Policy_Score,Household_Borrowing_Rate,Label,Disaster_Level
1,1,2.7483570765056164,1.7489803518489864,-0.49175569123735496,25.399472737109242,49.157693445577806,0.6364608637663685,52.88213477986967,0,0.8682529948516171,97.63581486863794,0.744804752971554,0.46476232412062235,0.8255644893453816,1,High
1,2,2.430867849414408,2.404461972098939,-0.5705017378881445,35.36842142234484,44.86491562720377,0.5848305406283594,96.86310223889203,0,0.34485470803306817,81.55750878466577,0.04779148387012144,0.22439951171830508,0.4069710304280071,0,Low
1,3,2.8238442690503462,1.2195297239793765,-0.6167176779575161,37.700306490945174,54.53569917728507,0.74199537516627,79.31339215966341,0,0.3258505296941186,89.50649738984346,0.04589386787504923,0.8623799328624304,0.6869219076574815,0,Low
2,1,3.261514928204013,1.7951644208615782,-0.2174002175724405,24.43054303804734,50.21713124184362,0.8509312134121079,84.95965989906881,1,0.3939304049567134,126.13803193298331,0.8108609695187914,0.5932098057810014,0.3032014713842828,0,High
2,2,2.382923312638332,1.2990426222347524,-0.34281353954557225,29.270956785178438,60.26764804025195,0.613595626591108,76.2587894967112,0,0.6846918773160939,148.44680423967364,0.43426816106367105,0.7134886230104158,0.4354760923618203,0,Medium
2,3,2.3829315215254097,1.9454527530499872,-0.22411892047897802,29.406480958744126,78.65637184493715,0.5020507252150835,91.73689773884837,1,0.5393957500021483,87.80234977084618,0.3411800546003557,0.5291879009092337,0.8956271312033992,0,Medium
3,1,3.2896064077536957,2.15475495603892,-0.16190546277569737,37.471506115194686,62.99813972918565,0.6714675579183527,51.656673109660545,0,0.7953314276506118,112.33636336873334,0.6075268621753385,0.4764060376099855,0.9499076093309543,0,Medium
3,2,2.8837173645764542,1.6316952825275788,-0.2468766013654933,35.25598105751611,75.59724223560391,0.9844296677338942,63.418918263857385,1,0.3431598908888195,92.64455856632728,0.7018993438689736,0.3777603304608679,0.7188173469272647,1,High
3,3,2.265262807032524,0.7583144573491463,-0.16844736476992525,30.261544367360997,66.0351534998311,0.8474837303029233,73.48241782013461,1,0.41784845208882065,132.15255738711144,0.2012013468444066,0.8164260376305166,0.374351890776185,0,Low
4,1,2.7712800217929825,1.8795792587185978,-0.31390645724845384,33.414944009435466,59.00986106348802,0.700662721970612,53.8301808156855,0,0.4800158432789374,88.26412298332698,0.18543124140473155,0.7564380675324236,0.820057789974664,0,Low
4,2,2.268291153593769,1.9746954206934038,-0.5373986776611489,36.94710107818734,74.18430250933486,0.5962880486734201,85.29533346633292,1,0.6760380520132712,96.78892239366226,0.9581507477598815,0.4885831875968689,0.025867081725420182,1,High
